u_id, p_id, rating, unixTime, brand, categories
1344, 0, 5, 1361664000
777, 0, 5, 1372636800
5592, 1, 5, 1383782400
3099, 1, 3, 1399852800
578, 2, 5, 1365465600
4276, 2, 4, 1285027200
6046, 2, 5, 1308182400
3774, 2, 5, 1284768000
1303, 2, 5, 1287446400
2423, 2, 4, 1282694400
2807, 2, 4, 1305676800
2325, 2, 4, 1305763200
4576, 2, 5, 1284163200
4784, 2, 5, 1290038400
3540, 2, 5, 1328918400
1251, 3, 5, 1305936000
5755, 3, 4, 1340150400
3176, 3, 5, 1368403200
425, 3, 5, 1299888000
5325, 3, 5, 1329696000
3350, 3, 5, 1365120000
2252, 3, 5, 1298505600
1686, 3, 4, 1299196800
165, 3, 5, 1318464000
1135, 3, 5, 1299024000
1303, 3, 4, 1299715200
431, 3, 4, 1337126400
2071, 3, 4, 1303171200
3849, 3, 4, 1298419200
2785, 3, 5, 1365120000
4463, 3, 5, 1309305600
6191, 4, 4, 1258502400
2128, 5, 4, 1383523200
3954, 6, 5, 1393200000
2264, 6, 5, 1319760000
4130, 6, 5, 1298937600
5906, 6, 5, 1299369600
4461, 7, 3, 1335139200
2700, 7, 4, 1336435200
5894, 7, 5, 1392768000
3226, 7, 5, 1355011200
1837, 7, 5, 1373760000
3366, 8, 2, 1384992000
1893, 8, 5, 1226188800
6201, 8, 3, 1393977600
5910, 8, 5, 1403481600
1095, 8, 2, 1355875200
299, 9, 3, 1357689600
1180, 10, 5, 1372723200
143, 10, 5, 1354492800
5282, 10, 5, 1399248000
1389, 10, 4, 1175558400
1389, 11, 5, 1071187200
5739, 12, 5, 1367712000
3299, 12, 3, 1276214400
2557, 13, 5, 1365811200
6166, 13, 5, 1403740800
1865, 14, 5, 1388620800
3132, 14, 5, 1373587200
6309, 14, 5, 1388275200
6208, 14, 5, 1392595200
249, 14, 4, 1356739200
3897, 14, 5, 1354752000
3530, 14, 5, 1354060800
4948, 14, 5, 1379808000
3734, 14, 5, 1389484800
