11189,3954,5911,2782,9745,12195,914,9725,11086,2165,8898,6688,3994,11601,2668,6680,1252,7728,9663,10749,2309,4282,5001,7172,12186,6328,8901,5207,8675,6885,7251,409,2784,2332,6726,9702,8274,2057,1934,5956,1913,7877,6048,2632,2409,5394,5360,1200,1782,4598,2929,4620,1121,3517,5736,11406,12367,9420,11202,5657,9762,5051,6190,8651,8638,9823,2112,4492,4098,9945,11494,2497,4384,5122,8036,2627,3387,3498,7944,3463,3377,3963,73,4306,2167,7562,433,2170,4728,4471,12122,12397,8571,2813,8989,1969,639,2209,9185,11810
652,2925,7039,7439,1632,1017,2554,11359,8091,4869,4650,6685,6415,10453,11465,4021,8379,10030,10060,10444,7646,3286,6432,828,8029,12170,4827,10856,6964,3728,3694,7558,330,11927,8013,298,4856,7122,7951,6790,10558,11026,6206,8766,2539,3425,539,4754,6611,1386,4598,10967,265,6779,8214,201,7518,11669,4835,4484,8832,11808,7330,475,498,794,7380,12207,2772,8727,4983,1256,1481,11654,1841,6078,10163,2185,9464,1381,12329,9882,12513,12427,5649,9288,5620,8069,1222,6732,7630,255,4385,8210,12272,9480,7007,3757,8885,1612
7572,9415,5567,11143,2353,4532,9684,9898,941,12217,991,8616,5601,10408,4827,5773,4176,635,7965,12165,479,703,7423,2959,6496,189,9552,3207,2279,8501,3215,8573,7629,11963,5148,1516,5697,3721,10258,8665,3738,5255,11325,633,8188,2513,8054,10268,7680,5616,3142,5413,10254,1537,11283,7717,7474,9834,6162,6503,4731,2834,11042,2174,8773,12124,12063,1375,8417,8701,6386,4692,9798,4356,1561,10683,8241,11657,3550,6362,6780,7201,6157,12279,11000,12466,6465,10568,4678,5027,10300,3850,5036,5695,9597,1213,9810,11061,4587,7504
2763,5944,6252,10195,6436,8696,5344,4172,6700,8134,6687,3206,5457,6282,6051,8361,356,7014,9598,3541,1382,5435,3308,6260,9146,8920,8147,4368,11343,8738,9374,6658,7643,9798,1079,9154,10945,3510,6037,2537,2275,9061,3964,8307,7747,10313,6316,10197,3498,4682,966,4668,9971,8886,2339,3156,8923,2996,9533,7511,7254,7126,5680,2092,3920,5003,2034,12088,12308,7147,3816,2809,9321,7165,601,2777,4163,3861,710,5509,10865,10506,2526,12200,3782,4077,11707,6846,3486,3267,4142,10894,5846,10272,1922,2521,11791,1761,6546,11226
10774,239,7920,2735,6302,11234,2887,2597,3206,1247,5154,8808,4430,8226,1841,2542,1381,10337,7417,4345,3361,6648,5140,9116,9021,1654,4563,12247,10679,3585,7524,7304,12301,5572,7220,2436,7694,2941,11197,2297,9507,9845,7180,9834,6259,7787,7389,7877,4006,2245,7300,3296,3303,11158,6851,10954,10547,2405,6214,9900,1612,10303,1724,6662,8399,174,4369,9881,11929,2322,5759,10538,9815,1032,9910,7451,8830,9496,7898,2935,5546,10923,3384,3601,7765,4166,2231,5949,12265,10320,7013,6076,3411,492,7533,9913,367,10220,9413,2442
3042,9922,1617,9340,10549,3003,11177,12377,5251,10618,1097,11194,4038,2673,9039,6215,2456,1515,1270,11208,966,11192,3772,2217,3059,5640,925,6380,11610,11387,2174,6946,4564,7589,513,10537,12416,5618,4175,1871,8821,306,3864,10974,9007,12332,9828,5420,435,6348,10361,6810,4788,637,6642,1275,913,6957,434,4975,4750,10219,10122,9344,5702,8659,1178,6877,10916,788,4387,11157,3048,9857,2958,463,5556,1609,10230,7761,5296,7292,10035,9799,11795,10496,11305,3353,404,7755,8627,11220,7294,3402,5046,10084,2823,7207,1918,9383
9772,4313,9000,6563,8727,12007,9754,2535,10396,5614,11215,8035,3163,9398,9345,6271,4298,1522,5277,11524,1931,1121,6100,11093,10927,3737,9845,7835,3702,760,11659,4392,8351,2862,7322,8301,8222,881,307,12188,5992,5623,11763,6803,8104,6261,1896,2386,8100,1470,2268,10090,11932,9842,9903,4517,791,12023,4194,11421,6792,9676,7315,6940,1555,4605,9015,8860,9865,1874,9325,10941,3721,713,3990,7328,5743,3621,11690,6869,759,9825,1276,205,11758,3861,2682,2957,4381,9738,7340,3094,8001,7007,4293,4959,1913,1466,5001,12232
10323,2649,4135,303,4278,11665,4609,5074,3423,10034,8440,7441,11619,4882,5175,3632,10817,8621,11808,4715,8102,7205,1580,388,6673,9890,7821,758,12035,9054,9392,7915,363,11324,3430,1842,2449,8889,1390,8139,12202,10156,876,2928,5287,9591,6274,8277,2646,6124,2899,5488,2047,10789,8569,5598,1764,3270,5680,5228,402,9426,7869,4116,10713,6538,9693,5479,1614,10585,10735,5454,106,9244,4940,1068,3147,1524,1063,1481,4279,5537,8703,9622,8126,6518,10653,4349,4396,7275,3691,526,10287,3327,9496,1551,7460,7900,617,9654
2039,8505,11065,4342,8822,3189,4184,10259,11204,513,11472,7967,7818,3056,10229,677,8833,6573,487,3793,7916,11158,4317,5082,8258,6469,5649,4584,401,10912,3014,7700,4752,3143,407,11785,8333,2739,4134,1731,10559,2274,5809,8340,7593,12251,7582,543,11241,7053,3126,9490,1119,10938,8021,1139,3027,12389,931,192,8233,7003,609,2371,6027,9590,12100,922,1818,4758,11933,5515,11427,4636,2683,10982,2610,3710,1841,2030,762,2125,433,795,9949,4530,838,10807,10719,5475,5202,10311,1875,11044,6,1846,7734,9044,7547,4653
1118,5736,1184,2924,1307,2613,7251,4429,3431,6141,6875,4096,2494,6702,2800,941,3635,8759,6822,8738,10339,8283,3922,6227,6706,10475,7779,8774,782,9519,22,4510,11321,4322,8673,904,9104,5118,10553,2842,5715,5121,9596,3167,3785,502,4517,10252,8262,4998,6548,9345,11985,3178,11790,11288,915,6439,10508,7037,10791,4937,2580,6648,9494,2703,8743,8623,8058,869,1900,7203,1186,11954,8722,9574,5164,9430,1100,583,6450,3022,6744,3948,8760,7658,12075,10619,9658,10741,9882,8737,9010,5735,8816,10558,2356,4197,1823,7731
79,1598,3725,7804,3470,18,9173,3016,3463,8843,2455,6017,3193,5558,4930,5363,8168,11256,6889,7273,10913,3500,3720,9736,3283,6357,10286,7294,3518,46,8283,8930,10076,7725,1513,8975,6716,10986,2619,7566,4312,8613,10263,2752,4520,9098,5333,4113,152,7492,1354,5208,2201,6353,7501,7118,3361,7690,7287,356,5957,2215,4027,10496,3007,7167,1853,10433,7949,8537,819,4483,1861,5589,3845,9574,4897,9784,4415,6516,3424,479,6754,2513,8983,10736,1748,10421,9847,12395,9668,9491,2811,933,12489,9402,5950,8227,9977,4332
10810,11163,9291,8698,7923,8036,11750,12369,3333,1344,7756,3915,10610,7339,643,8756,5831,11275,5235,6405,7892,2834,6489,8094,4022,10950,12424,5391,9132,11649,10877,1975,2708,4004,1501,2417,6872,2316,3274,11218,2880,10524,9051,6778,7709,1753,1336,11235,3724,5652,4959,5777,6000,7316,10158,1323,9856,1024,4007,9642,4008,5814,527,4602,7820,12330,8875,7168,5857,5131,10905,7512,9079,10999,196,2171,6179,9916,7961,11232,7540,1179,9014,11444,11048,4094,6047,5428,10987,3290,3916,7219,9735,1035,5919,5277,12328,897,2604,570
5237,11653,11554,6188,11639,2000,10798,10933,1469,9073,3695,10497,4349,8801,10768,5996,8037,6679,10173,6784,181,10722,2989,8869,12153,4364,1640,3525,11257,5386,484,1820,3062,1735,9136,255,11751,4686,2819,2711,6256,5216,1946,2784,12192,8408,11498,2071,4479,7725,7815,2929,2178,132,5756,10825,10707,8812,7289,5279,7729,2290,7397,1098,7418,7015,8455,6022,8190,9077,10367,10660,5811,2427,1696,4835,6900,6582,1896,10653,8622,1154,8516,2837,339,9403,2116,7832,4558,2048,2607,2158,12429,9769,4757,11119,11594,724,2173,6514
1741,6194,4208,559,1835,9386,879,9025,2422,9626,1025,8474,1605,9747,6616,7268,4675,10613,5874,8198,10700,2065,4854,4454,735,7373,890,1892,5747,5057,6565,8528,2354,10616,10192,10364,147,1152,583,1813,2789,11941,3797,8170,1879,7758,303,9136,1044,666,6776,2782,1203,1353,9843,8271,7450,9926,2151,10706,12375,7912,12116,10108,1318,1085,3093,4727,5294,2471,5142,9229,2246,11602,6598,7984,6798,10594,6964,6830,7278,4111,2819,4211,5743,6305,11023,4812,1288,5425,11118,9211,4009,5409,396,9600,5514,2756,1696,7662
8865,4114,2792,11281,8107,10653,5874,9855,1315,2085,4702,10644,3803,1258,11745,8532,10163,8160,110,9788,10724,6866,5089,4919,10879,7145,8173,4515,9938,2044,1386,378,11179,10767,3013,815,1023,5512,8935,8125,4638,1435,6431,11995,3229,8861,10986,6257,7209,7821,4450,1217,7028,819,10518,11625,3881,5958,10843,2466,2772,8295,3923,6211,5323,12208,11301,232,12160,9378,6960,9543,12185,1093,3216,9222,5040,6451,5729,6787,4695,12106,8047,7150,3442,7476,11178,5299,6111,4974,9307,1103,785,7956,11584,124,2412,10515,233,2348
6709,6972,10364,4755,10429,11365,4335,7596,5395,2320,7551,5338,4917,2539,3533,8214,2294,8914,4799,1662,1363,4463,7062,1436,7501,10306,3138,9817,4171,3622,822,6780,7983,7583,11238,6949,8397,9437,718,3632,11125,8009,7682,2586,10214,4319,3766,6308,12121,2436,4263,8849,889,8335,4825,9885,5683,6956,5836,6438,2602,2794,7700,2937,5357,4757,7784,904,7911,7136,3759,959,9682,8859,12469,11166,171,2180,5215,2981,9438,5655,3620,6469,10685,5070,12306,2029,469,869,7662,1069,256,11426,1572,11957,12387,7679,4039,12442
12035,4984,5995,8554,5061,4398,8367,4280,3498,11793,4324,4835,10152,5712,1282,6182,8349,2546,8059,9355,2048,7836,8766,8730,9683,9156,7498,11156,6913,1806,2705,1435,1042,2545,9076,7878,9068,945,8640,1423,1134,9521,10086,12439,3749,9419,4597,5985,257,7997,1133,4048,2629,4724,9944,6715,7783,4424,873,11898,7562,2648,5772,2709,1529,7963,6513,2945,9905,1664,7370,8442,1897,3201,1503,4591,7606,9210,3827,2603,8720,4920,9225,4831,12185,10059,4507,10320,7964,7105,9325,4994,6373,9720,4718,5902,7563,2788,3370,12315
5353,3632,11744,6672,8288,2397,10808,11185,8883,10874,7404,2485,7532,2110,10088,7817,3042,4299,1624,715,3121,9285,9832,11958,4500,3703,7801,10529,941,2027,5209,1091,10046,11993,5364,10434,8995,10683,1315,9366,2,10304,3003,11470,3078,11808,8390,4777,3625,5758,585,2061,991,11261,508,11656,12333,4264,8015,12024,1423,904,1886,2655,10685,3029,6782,11465,257,4345,2888,7225,12059,1194,7517,1920,2267,10209,6660,4257,10364,3696,8437,11737,10446,7558,7916,558,11946,2304,8723,12148,12273,12394,6856,887,9962,11083,7594,383
7755,4444,6466,1194,537,2934,6712,5354,2663,9,10379,11148,11711,7909,12506,4608,6320,5084,8258,7154,989,2020,5708,6256,2621,7974,9779,4750,8878,3687,9698,4395,862,10779,9095,8109,8885,10579,8937,12403,5358,2727,3004,9443,8334,4702,1075,9505,9347,11672,4039,8691,4191,4688,11654,11186,7305,6416,9968,3430,5391,12302,1439,12215,10966,5850,3719,1140,864,1862,2526,3076,10181,5927,4214,8134,7328,2846,10540,7574,10166,1488,4058,3228,8745,10401,1166,5622,6518,1948,11319,2108,11258,11270,7998,62,1060,7043,11247,10225
12339,873,7566,2263,819,9099,3433,5404,5575,11261,7720,11356,6181,12406,6753,6618,9179,12085,11324,4430,8099,11550,8084,8491,5055,5678,7835,7438,8031,1577,1532,8315,4034,2279,3290,5117,8247,12053,652,11685,1218,2603,6477,2235,991,1034,12209,2532,7224,7801,7338,2630,1159,3204,7575,12307,2854,1039,9898,12272,3357,1301,3340,5407,7133,10575,1280,5263,12294,3014,8920,6342,5749,9379,11288,12354,12186,4479,8252,10555,2002,9335,8675,6024,4691,7102,3321,11445,2657,4423,3875,7204,3246,4773,7941,1712,6403,1790,1265,10457
11558,4508,2317,1303,741,11907,11855,5357,2116,8338,6889,9847,3855,3812,8025,1994,12402,2259,8028,5982,9124,11032,9217,10838,9212,6105,3487,1279,7572,10292,210,5549,4347,11064,4062,7527,8569,2500,1202,3439,12103,8902,9535,7713,7777,8312,557,2369,273,3764,10629,4492,2332,5864,57,1090,11120,3643,8550,724,5837,5073,10913,2341,2917,11637,8343,4053,11202,4974,5833,4908,1415,1230,2356,5031,2952,2976,10736,8090,1863,2770,5685,4931,1811,614,9095,2211,7188,2803,11418,3969,2682,11313,2884,10996,2257,4469,1382,10072
7548,7539,11552,9528,1558,10626,6678,9421,5261,9005,3966,5657,12063,2626,693,6366,11666,1174,3135,412,3382,8663,6541,4600,10601,3923,9296,6624,5274,2414,7336,11243,11762,12265,11765,8442,9591,3818,2970,5142,3841,607,1094,11806,3415,6518,6971,8316,3895,846,12427,3869,3729,3495,3230,11438,8652,7226,4519,5818,5894,5520,10526,1042,6912,4837,1151,9977,7351,8303,9999,4897,8419,5874,9553,12337,400,2597,8676,10149,73,12355,5665,8710,8220,11741,9385,1574,7383,4333,1434,3218,12233,12449,11151,9107,8592,9224,10759,3265
808,491,3575,873,1475,10633,2130,1329,10532,4134,5092,6486,8842,2803,9454,6825,10763,3321,10378,5596,12023,1873,8649,2996,4218,401,7142,8857,11436,9344,8500,6554,5156,6523,1039,7585,11466,5545,7997,8136,1564,7217,11839,5025,5888,12213,2954,6953,10146,12182,1570,12249,1656,4156,1989,1246,6509,11377,6221,6711,6335,7607,4175,9066,5689,916,865,10126,1105,5149,4308,1965,2992,5282,6812,6838,1617,8667,5167,7329,4562,5113,6795,5908,8147,10816,7688,5891,4800,6316,5299,2497,10576,8165,2699,7848,12149,1482,7797,6892
