8 8423 14268 15868 8730 18326 10003 5627 3266
8 1152 18597 4817 18738 13831 18330 16266 7518
8 17676 115 17781 17675 5918 14054 8268 5252
8 17637 8412 4454 16278 7416 14162 3677 5830
8 12360 10383 2949 8412 5311 11774 19006 12800
8 11477 4708 18255 17675 13684 456 18006 14949
8 12109 5851 9485 4316 198 10465 12858 9772
8 17647 8127 13756 12132 13684 5193 16522 17870
8 17667 17675 5440 16092 10531 11156 6842 16608
8 9769 9141 8463 17664 466 8418 9763 18996
8 7495 10003 12653 14320 150 15347 15876 3034
8 18342 10003 11006 8017 9790 14724 2079 3029
8 5403 7495 5435 12601 15317 11397 15600 5500
8 14121 15186 10832 10598 15655 8747 14853 9308
8 10458 5935 18997 125 111 3382 12028 16939
8 7495 9756 3649 10889 5256 14683 8268 1107
8 8418 7495 15605 18326 7323 10718 7749 14121
8 9560 11722 9561 10576 14868 17018 4454 11894
8 9140 9769 3843 2623 2408 13490 12288 361
8 11571 6842 17593 16465 11476 8387 7305 4623
8 12082 2634 5436 9603 3266 15007 3221 18304
8 7304 17748 14659 10509 3346 15601 5964 1152
8 8730 14932 9560 17675 2101 10763 18835 17663
8 9603 10344 12072 7324 780 4822 3382 12195
8 6842 16607 7381 17645 7495 9725 18328 17954
8 754 2079 4708 8845 11278 11199 10353 14244
8 10003 15243 17593 11772 607 2075 5224 16027
8 18632 5490 125 4814 12082 6388 468 8114
8 3373 8121 144 19053 8817 7632 13023 13875
8 8150 7495 14653 754 10722 2037 18326 18996
8 10489 6578 18998 18996 4152 18330 12288 9555
8 10003 14724 18716 383 11214 11103 4783 15961
8 9758 754 12109 17650 2623 13899 17618 955
8 16950 14252 6409 8271 12701 8636 18291 12939
8 9560 314 17085 13791 17792 9047 881 1421
8 12019 12081 10739 1854 14042 13917 7382 614
8 12782 8727 12779 12813 12783 13361 96 5435
8 11430 18905 15243 11686 17405 2037 3319 3029
8 17667 963 958 10458 18836 226 12893 4510
8 8401 3374 14147 15987 17594 11652 12450 17663
8 9560 1020 9038 14730 12574 13706 7732 13645
8 7495 13392 8747 9295 14149 17719 8940 10142
8 5436 9011 3513 8259 3516 7726 6641 8630
8 15237 15249 15241 15228 15250 15234 15233 15231
8 9076 5555 15967 3918 6992 8449 12708 14775
8 9560 12072 19006 18103 5967 8253 18147 2674
8 7559 10003 8017 12813 14705 17799 17870 8867
8 15317 479 9083 18430 8606 18611 18699 13018
8 2310 16939 5572 8788 9126 11015 12224 9092
