5 8423 14268 15868 8730 18326
5 1152 18597 4817 18738 13831
5 17676 115 17781 17675 5918
5 17637 8412 4454 16278 7416
5 12360 10383 2949 8412 5311
5 11477 4708 18255 17675 13684
5 12109 5851 9485 4316 198
5 17647 8127 13756 12132 13684
5 17667 17675 5440 16092 10531
5 9769 9141 8463 17664 466
5 7495 10003 12653 14320 150
5 18342 10003 11006 8017 9790
5 5403 7495 5435 12601 15317
5 14121 15186 10832 10598 15655
5 10458 5935 18997 125 111
5 7495 9756 3649 10889 5256
5 8418 7495 15605 18326 7323
5 9560 11722 9561 10576 14868
5 9140 9769 3843 2623 2408
5 11571 6842 17593 16465 11476
5 12082 2634 5436 9603 3266
5 7304 17748 14659 10509 3346
5 8730 14932 9560 17675 2101
5 9603 10344 12072 7324 780
5 6842 16607 7381 17645 7495
5 754 2079 4708 8845 11278
5 10003 15243 17593 11772 607
5 18632 5490 125 4814 12082
5 3373 8121 144 19053 8817
5 8150 7495 14653 754 10722
5 10489 6578 18998 18996 4152
5 10003 14724 18716 383 11214
5 9758 754 12109 17650 2623
5 16950 14252 6409 8271 12701
5 9560 314 17085 13791 17792
5 12019 12081 10739 1854 14042
5 12782 8727 12779 12813 12783
5 11430 18905 15243 11686 17405
5 17667 963 958 10458 18836
5 8401 3374 14147 15987 17594
5 9560 1020 9038 14730 12574
5 7495 13392 8747 9295 14149
5 5436 9011 3513 8259 3516
5 15237 15249 15241 15228 15250
5 9076 5555 15967 3918 6992
5 9560 12072 19006 18103 5967
5 7559 10003 8017 12813 14705
5 15317 479 9083 18430 8606
5 2310 16939 5572 8788 9126
5 4562 8747 12783 10154 18996
5 16606 6722 12653 4026 10489
5 2037 2040 5774 3166 12444
5 1007 18998 9763 16443 15317
5 12254 8960 5983 6362 1333
5 2939 14121 7139 8268 17890
5 10017 16939 9616 5935 1025
5 8747 3124 4483 1032 8319
5 3233 10003 4028 5802 3884
5 7032 607 5327 864 17911
5 18316 8268 15277 456 469
5 6470 981 18466 14169 10704
5 17661 3153 11587 11693 667
5 8418 1642 10489 2623 10458
5 14268 1765 10832 17678 17675
5 4561 17645 17068 12259 10363
5 7495 12977 7552 4569 2623
5 16949 1778 12288 8165 970
5 9718 17269 13899 18326 2130
5 17290 10458 14256 10457 17954
5 17667 2623 7552 4613 5841
5 8463 14844 12675 4102 7174
5 6578 3266 12019 6409 4873
5 5935 10983 13722 7545 4102
5 12019 8289 12081 8124 13110
5 2037 1291 12567 9660 18433
5 9695 9603 3226 17767 567
5 14256 14175 5905 7077 8268
5 2310 11358 13550 788 18059
5 16443 17667 17661 2101 7130
5 7552 13350 1825 9609 13901
5 18975 9141 10352 18996 9763
5 10344 11790 5252 7497 190
5 16939 3064 1707 5457 4310
5 1278 15007 15355 13791 4287
5 10832 17675 7139 15233 17673
5 4376 8882 15102 3851 5782
5 9603 13349 5413 17982 16600
5 12653 4708 456 13828 9186
5 9560 11275 7552 8747 2037
5 11362 10489 10458 17792 10959
5 11773 8960 9194 18934 17522
5 6630 11663 17762 15183 10081
5 468 5935 863 13756 2020
5 10489 13705 17328 18676 2684
5 9763 15237 5273 10458 6438
5 12666 12082 4027 11483 8101
5 10003 12019 8747 8267 8268
5 7123 8949 17954 7940 17691
5 6470 13750 15150 15277 13899
5 8268 10003 8267 8412 15243
5 10458 10688 6300 12288 12655
5 7121 11362 18358 18632 18265
5 8747 117 1883 15622 7296
5 10458 13077 5738 13350 6079
5 17675 16473 2484 2710 3390
5 10489 10458 8463 3884 10858
5 2623 7518 1607 466 14123
5 754 4028 7495 1097 7518
5 16939 919 17595 1696 2935
5 12782 17767 8017 5795 1775
5 3319 1696 6722 7552 8017
5 10983 15173 13715 11588 11362
5 13662 14262 460 7294 8260
5 7970 3948 14361 14744 18704
5 18358 5048 15328 17 12084
5 12072 200 14949 1194 9801
5 15498 7764 11584 13754 12288
5 111 125 9718 14932 14943
5 13899 18998 7497 5627 7986
5 15235 15237 15250 15243 15234
5 10458 11663 15347 2046 5691
5 12019 17593 17650 18975 9790
5 5261 2310 10983 9435 5274
5 17138 17019 17859 9757 306
5 8949 8096 17954 3815 3000
5 16949 13492 8747 11588 13018
5 7552 2680 5611 14514 4641
5 6578 770 683 15687 9718
5 7552 10458 16939 895 6469
5 15695 5311 10384 18315 10352
5 3233 16949 2989 10272 15451
5 10458 6470 7127 5611 16939
5 19006 18989 18990 12810 15232
5 17636 18970 10352 18301 467
5 6300 11137 4265 10073 10302
5 7552 10458 4287 17748 16532
5 2310 13969 13492 4716 6818
5 17667 18265 11583 8259 19110
5 6868 3844 15655 14671 3513
